Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days)
47352198,458723.76,4422.62,0.9781,0.4896,132.0,9.0,34.0,89.0,0.0
39581466,118171.13,692.59,0.3003,0.0018,4.0,0.0,0.0,4.0,2.5
38776943,139324.51,763.73,0.3613,0.1303,100.0,42.0,44.0,14.0,1.94
36318320,152328.63,2451.69,0.4262,0.22,83.0,8.0,46.0,29.0,1.867
34486065,145525.51,948.45,0.4247,0.2491,98.0,5.0,56.0,37.0,1.735
1245315,164240.73,1246.38,13.2888,0.2431,1.0,0.0,0.0,1.0,3.0
1808490,70429.07,1255.41,3.9638,0.2944,5.0,1.0,4.0,0.0,2.8
80883913,3674629.51,16979.32,4.5641,5.2609,26.0,7.0,9.0,10.0,0.192
33412540,272957.06,1596.6,0.8217,0.692,47.0,1.0,11.0,35.0,1.191
2047559,185356.19,630.77,9.0834,4.2291,23.0,0.0,13.0,10.0,1.043
1811551,26212.84,145.84,1.455,0.7947,13.0,0.0,2.0,11.0,0.0
27521485,731834.07,3964.1,2.6735,4.405,7.0,0.0,2.0,5.0,0.0
1180207,154382.52,1755.34,13.2297,0.5307,1.0,0.0,0.0,1.0,3.0
7994281,201394.06,628.37,2.5271,1.5076,29.0,4.0,8.0,17.0,0.655
35137412,291341.05,2557.12,0.8364,0.4342,30.0,4.0,26.0,0.0,0.833
27421149,150723.02,3042.12,0.5608,0.1551,35.0,2.0,24.0,9.0,0.0
7146979,700613.67,5303.04,9.8771,5.8659,4.0,0.0,0.0,4.0,0.0
7900796,94032.52,642.67,1.1983,0.6597,48.0,16.0,16.0,16.0,1.5
8277231,266408.27,1143.38,3.2324,3.1181,2.0,0.0,0.0,2.0,0.0
8660319,55255.08,150.44,0.6398,0.0008,12.0,1.0,4.0,7.0,0.083
8082677,19130.35,135.52,0.2384,0.1527,156.0,11.0,101.0,44.0,4.724
8580337,293140.57,3361.57,3.4556,1.93,52.0,3.0,30.0,19.0,0.923
12257876,124797.05,1742.66,1.0323,0.5869,203.0,7.0,159.0,37.0,0.473
1310612,83808.22,364.41,6.4224,4.411,2.0,0.0,1.0,1.0,0.0
1342110,102364.91,457.03,7.6612,6.766,9.0,0.0,3.0,6.0,0.0
7107972,56804.89,609.46,0.8077,0.5424,37.0,3.0,6.0,28.0,0.784
6181000,67488.02,409.78,1.0985,0.4769,26.0,7.0,7.0,12.0,1.192
1899021,168822.75,621.81,8.9227,8.8957,6.0,0.0,2.0,4.0,0.0
5852531,464817.15,2515.07,7.9851,4.7334,7.0,0.0,3.0,4.0,0.0
5553767,193470.57,2237.57,3.5239,1.6276,12.0,0.0,6.0,6.0,2.25
5504035,65608.2,614.56,1.2032,0.3529,3.0,0.0,2.0,1.0,0.0
15503081,102893.23,1002.21,0.6702,1.2271,16.0,0.0,6.0,10.0,0.375
5407407,158457.37,2293.82,2.9728,1.2743,7.0,1.0,1.0,5.0,1.143
5327467,217496.35,1102.64,4.1032,2.3651,18.0,4.0,7.0,7.0,0.333
5247276,44043.18,394.33,0.8469,0.3082,10.0,2.0,6.0,1.0,3.3
4068179,29236.03,542.49,0.732,0.0784,8.0,0.0,7.0,1.0,3.125
5185011,40401.1,634.78,0.7914,0.5484,46.0,2.0,17.0,27.0,0.978
1791981,53809.66,225.66,3.0154,3.5795,7.0,0.0,1.0,6.0,0.571
4401643,155414.59,2326.3,3.5837,1.6159,11.0,1.0,10.0,0.0,0.182
4428080,234159.03,556.37,5.3006,1.0273,11.0,1.0,4.0,6.0,2.182
4373672,37089.66,86.05,0.85,0.671,19.0,1.0,16.0,2.0,0.211
7407121,696523.38,1675.74,9.4261,10.0583,29.0,3.0,7.0,19.0,1.034
4135006,55438.91,168.62,1.3448,0.0132,6.0,1.0,1.0,4.0,0.667
1096793,95957.22,926.17,8.8333,2.4198,22.0,1.0,20.0,1.0,0.0
